Time series;Target Rate;Write Bytes Rate;Latest Activity;Rate;Events Per Time Period;Input Rate
Apr 1st 2026, 12:00:00 am;0.009039548;Fetching…;Apr 1st 2026, 12:48:01 am;0.009039548;16;0.009039548
Apr 1st 2026, 1:00:00 am;0.011157601;Fetching…;Apr 1st 2026, 1:59:24 am;0.011157601;40;0.011157601
Apr 1st 2026, 2:00:00 am;0.017573223;Fetching…;Apr 1st 2026, 2:52:29 am;0.017573223;63;0.017573223
Apr 1st 2026, 3:00:00 am;0.41868895;Fetching…;Apr 1st 2026, 3:35:56 am;0.41868895;1501;0.41868895
Apr 1st 2026, 4:00:00 am;0.03514644;Fetching…;Apr 1st 2026, 4:59:43 am;0.03514644;126;0.03514644
Apr 1st 2026, 5:00:00 am;0.0446304;Fetching…;Apr 1st 2026, 5:52:12 am;0.0446304;160;0.0446304
Apr 1st 2026, 6:00:00 am;0.09651326;Fetching…;Apr 1st 2026, 6:59:17 am;0.09651326;346;0.09651326
Apr 1st 2026, 7:00:00 am;0.1047619;Fetching…;Apr 1st 2026, 7:58:23 am;0.1047619;374;0.1047619
Apr 1st 2026, 8:00:00 am;0.14923292;Fetching…;Apr 1st 2026, 8:59:33 am;0.14923292;535;0.14923292
Apr 1st 2026, 9:00:00 am;0.17377964;Fetching…;Apr 1st 2026, 9:58:39 am;0.17377964;623;0.17377964
Apr 1st 2026, 10:00:00 am;0.11827057;Fetching…;Apr 1st 2026, 10:58:53 am;0.11827057;424;0.11827057
Apr 1st 2026, 11:00:00 am;0.1841004;Fetching…;Apr 1st 2026, 11:59:43 am;0.1841004;660;0.1841004
Apr 1st 2026, 12:00:00 pm;0.08898187;Fetching…;Apr 1st 2026, 12:59:26 pm;0.08898187;319;0.08898187
Apr 1st 2026, 1:00:00 pm;0.04016736;Fetching…;Apr 1st 2026, 1:59:29 pm;0.04016736;144;0.04016736
Apr 1st 2026, 2:00:00 pm;0.07280335;Fetching…;Apr 1st 2026, 2:58:24 pm;0.07280335;261;0.07280335
Apr 1st 2026, 3:00:00 pm;0.036541145;Fetching…;Apr 1st 2026, 3:57:22 pm;0.036541145;131;0.036541145
Apr 1st 2026, 4:00:00 pm;0.012552301;Fetching…;Apr 1st 2026, 4:42:45 pm;0.012552301;45;0.012552301
Apr 1st 2026, 5:00:00 pm;0.0044630407;Fetching…;Apr 1st 2026, 5:58:34 pm;0.0044630407;16;0.0044630407
Apr 1st 2026, 6:00:00 pm;0.0039051604;Fetching…;Apr 1st 2026, 6:56:58 pm;0.0039051604;14;0.0039051604
Apr 1st 2026, 7:00:00 pm;0.0027894005;Fetching…;Apr 1st 2026, 7:56:54 pm;0.0027894005;10;0.0027894005
Apr 1st 2026, 8:00:00 pm;0.1254902;Fetching…;Apr 1st 2026, 8:52:18 pm;0.1254902;448;0.1254902
Apr 1st 2026, 9:00:00 pm;0.005299861;Fetching…;Apr 1st 2026, 9:55:05 pm;0.005299861;19;0.005299861
Apr 1st 2026, 10:00:00 pm;0.014504883;Fetching…;Apr 1st 2026, 10:53:23 pm;0.014504883;52;0.014504883
Apr 1st 2026, 11:00:00 pm;0.09846584;Fetching…;Apr 1st 2026, 11:48:56 pm;0.09846584;353;0.09846584
Apr 2nd 2026, 12:00:00 am;0.5057183;Fetching…;Apr 2nd 2026, 12:48:21 am;0.5057183;1813;0.5057183
Apr 2nd 2026, 1:00:00 am;0.014225942;Fetching…;Apr 2nd 2026, 1:50:35 am;0.014225942;51;0.014225942
Apr 2nd 2026, 2:00:00 am;0.010320782;Fetching…;Apr 2nd 2026, 2:21:56 am;0.010320782;37;0.010320782
Apr 2nd 2026, 3:00:00 am;0.4677824;Fetching…;Apr 2nd 2026, 3:59:20 am;0.4677824;1677;0.4677824
Apr 2nd 2026, 4:00:00 am;0.029009763;Fetching…;Apr 2nd 2026, 4:57:25 am;0.029009763;104;0.029009763
Apr 2nd 2026, 5:00:00 am;0.034030687;Fetching…;Apr 2nd 2026, 5:59:14 am;0.034030687;122;0.034030687
Apr 2nd 2026, 6:00:00 am;0.05076708;Fetching…;Apr 2nd 2026, 6:55:48 am;0.05076708;182;0.05076708
Apr 2nd 2026, 7:00:00 am;0.1515406;Fetching…;Apr 2nd 2026, 7:54:28 am;0.1515406;541;0.1515406
Apr 2nd 2026, 8:00:00 am;0.1497908;Fetching…;Apr 2nd 2026, 8:58:52 am;0.1497908;537;0.1497908
Apr 2nd 2026, 9:00:00 am;0.07615063;Fetching…;Apr 2nd 2026, 9:57:04 am;0.07615063;273;0.07615063