hour,write_events,records_written,freshness_s,total_latency_p50_s,total_latency_p95_s,total_latency_p99_s,stream_latency_p50_s,stream_latency_p95_s,stream_latency_p99_s,system_latency_p50_s,system_latency_p95_s,system_latency_p99_s,total_latency_p50_min,total_latency_p95_min,total_latency_p99_min
2026-03-30 11:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 12:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 13:00 UTC,75,976,0.0,2461.5,7381.1,7908.6,15.2,20.0,37.9,15.2,20.0,37.9,41.0,123.0,131.8
2026-03-30 14:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 15:00 UTC,66,539,0.0,2805.6,7680.2,7936.0,15.2,19.8,46.9,16.7,34.2,47.5,46.8,128.0,132.3
2026-03-30 16:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 17:00 UTC,27,89,0.0,7785.7,9879.7,9975.9,35.0,39.5,39.9,35.0,39.5,39.9,129.8,164.7,166.3
2026-03-30 18:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 19:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 20:00 UTC,6,520,0.0,321.3,3250.0,9350.0,16.5,47.7,49.5,16.5,47.7,49.5,5.4,54.2,155.8
2026-03-30 21:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-30 22:00 UTC,9,67,0.0,3937.5,5416.1,5483.2,45.0,49.5,49.9,45.0,49.5,49.9,65.6,90.3,91.4
2026-03-30 23:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 00:00 UTC,10,212,0.0,2483.9,2996.8,4293.3,21.4,44.4,48.9,21.4,44.4,48.9,41.4,49.9,71.6
2026-03-31 01:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 02:00 UTC,31,1668,0.0,6233.5,8923.4,8984.7,49.6,78.2,96.1,49.7,81.4,95.9,103.9,148.7,149.7
2026-03-31 03:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 04:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 05:00 UTC,23,1732,0.0,6485.9,7901.9,7983.4,45.2,76.9,87.4,45.2,80.4,88.1,108.1,131.7,133.1
2026-03-31 06:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 07:00 UTC,65,861,0.0,2250.0,5076.9,5415.4,15.5,36.4,46.1,25.3,37.9,43.0,37.5,84.6,90.3
2026-03-31 08:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 09:00 UTC,45,622,0.0,1975.0,4825.3,4965.1,26.0,37.3,39.5,26.0,37.3,39.5,32.9,80.4,82.8
2026-03-31 10:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 11:00 UTC,89,986,0.0,4006.9,7835.3,8730.4,12.1,46.3,53.3,10.1,14.7,46.9,66.8,130.6,145.5
2026-03-31 12:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 13:00 UTC,81,430,0.0,5576.9,8542.6,8908.5,19.4,49.5,57.1,19.4,49.5,57.1,92.9,142.4,148.5
2026-03-31 14:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 15:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 16:00 UTC,37,248,0.0,6916.7,8872.4,9504.0,25.1,56.1,59.2,25.1,56.1,59.2,115.3,147.9,158.4
2026-03-31 17:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 18:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 19:00 UTC,11,139,0.0,7750.0,9751.8,9950.4,10.1,55.9,59.2,10.1,55.9,59.2,129.2,162.5,165.8
2026-03-31 20:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 21:00 UTC,18,605,0.0,5579.6,8635.5,8927.1,16.0,47.0,49.4,16.0,47.0,49.4,93.0,143.9,148.8
2026-03-31 22:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-03-31 23:00 UTC,14,465,0.0,731.5,5470.0,6535.0,15.5,45.8,49.2,15.5,45.8,49.2,12.2,91.2,108.9
2026-04-01 00:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 01:00 UTC,18,1592,0.0,4497.1,4951.2,4991.5,15.4,48.2,57.8,16.1,51.0,58.3,75.0,82.5,83.2
2026-04-01 02:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 03:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 04:00 UTC,26,1605,0.0,3528.6,5937.5,8620.3,30.1,34.7,45.5,15.2,20.0,44.1,58.8,99.0,143.7
2026-04-01 05:00 UTC,16,164,0.0,946.2,3863.3,3972.7,15.5,24.5,28.9,15.5,24.5,28.9,15.8,64.4,66.2
2026-04-01 06:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 07:00 UTC,72,695,0.0,2996.5,7967.4,9669.0,15.2,20.0,39.3,15.2,20.0,39.3,49.9,132.8,161.2
2026-04-01 08:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 09:00 UTC,75,1053,0.0,5522.6,7809.2,8680.9,6.2,18.9,56.8,6.2,18.9,56.8,92.0,130.2,144.7
2026-04-01 10:00 UTC,0,0,6.4,,,,,,,,,,,,
2026-04-01 11:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 12:00 UTC,88,1369,0.0,3825.0,8647.2,8929.4,5.7,19.5,58.0,5.7,19.5,58.0,63.8,144.1,148.8
2026-04-01 13:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 14:00 UTC,86,664,0.0,3398.1,6511.4,9352.3,16.4,34.1,34.8,29.7,34.5,34.9,56.6,108.5,155.9
2026-04-01 15:00 UTC,6,51,0.0,290.6,1817.9,1963.6,15.0,19.5,19.9,15.0,19.5,19.9,4.8,30.3,32.7
2026-04-01 16:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 17:00 UTC,26,156,0.0,6107.8,9345.9,9469.2,30.8,46.6,49.3,16.0,32.6,34.5,101.8,155.8,157.8
2026-04-01 18:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 19:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 20:00 UTC,16,431,0.0,1528.9,5450.0,9281.7,15.6,33.4,34.7,15.4,42.8,48.6,25.5,90.8,154.7
2026-04-01 21:00 UTC,0,0,0.0,,,,,,,,,,,,
2026-04-01 22:00 UTC,26,120,0.0,,,,,,,,,,,,
2026-04-02 00:00 UTC,14,355,,,,,,,,,,,,,
2026-04-02 02:00 UTC,29,1899,,,,,,,,,,,,,
2026-04-02 05:00 UTC,26,1783,,,,,,,,,,,,,
2026-04-02 07:00 UTC,63,645,,,,,,,,,,,,,
2026-04-02 09:00 UTC,72,990,,,,,,,,,,,,,
2026-04-02 10:00 UTC,5,20,,,,,,,,,,,,,
